x0,x1,label,bpm,min_maj
15.1916065,-6.1766033,b'Armind',b'130-',b'Min'
16.831404,-5.045111,b'Armind',b'130-',b'Min'
18.027122,-0.63366103,b'Armind',b'130-',b'Min'
15.246006,-0.6844063,b'Armind',b'130-',b'Min'
13.641491,-7.145915,b'Armind',b'131-136',b'Min'
11.785752,-9.124919,b'Armind',b'131-136',b'Min'
2.1686916,-6.9146585,b'Coldharbou',b'131-136',b'Min'
4.02288,-8.620788,b'Coldharbou',b'131-136',b'Min'
17.527143,-4.100674,b'Armind',b'131-136',b'Min'
-1.7231544,-8.31705,b'Coldharbou',b'131-136',b'Min'
-16.968433,8.348621,b'Pure',b'131-136',b'Min'
-12.678461,7.565094,b'WAO138',b'131-136',b'Min'
-20.760345,16.598986,b'FSOE',b'137+',b'Min'
17.64727,-0.93807244,b'Armind',b'137+',b'Min'
2.3270478,19.727364,b'WAO138',b'137+',b'Min'
-9.787793,20.295723,b'WAO138',b'137+',b'Min'
1.0813936,20.319483,b'WAO138',b'137+',b'Min'
-4.6755047,20.794218,b'WAO138',b'137+',b'Min'
-12.976776,13.155057,b'Pure',b'137+',b'Min'
-15.013493,9.343765,b'Pure',b'137+',b'Min'
0.56887853,19.106146,b'WAO138',b'137+',b'Min'
-1.4992356,15.667969,b'WAO138',b'137+',b'Min'
-6.0159426,20.782505,b'WAO138',b'137+',b'Min'
-14.454812,7.567063,b'FSOE',b'137+',b'Min'
1.649747,19.026052,b'WAO138',b'137+',b'Min'
-0.2391988,20.708792,b'WAO138',b'137+',b'Min'
-13.129552,14.087653,b'FSOE',b'137+',b'Min'
-15.977356,17.11711,b'FSOE',b'137+',b'Min'
-2.5384493,20.677176,b'WAO138',b'137+',b'Min'
-19.871355,8.899194,b'Pure',b'137+',b'Min'
18.399584,-0.6174603,b'Armind',b'137+',b'Min'
-20.88321,17.034159,b'FSOE',b'137+',b'Min'
-14.71084,12.406568,b'Pure',b'137+',b'Min'
-8.145303,15.244568,b'WAO138',b'131-136',b'Maj'
-20.482695,14.600148,b'FSOE',b'137+',b'Maj'
8.782718,-24.491947,b'Anjunabeat',b'130-',b'Min'
10.101729,-23.509892,b'Anjunabeat',b'130-',b'Min'
-4.3218627,-4.0232954,b'Coldharbou',b'130-',b'Min'
12.846029,-24.857546,b'Anjunabeat',b'130-',b'Min'
12.215703,-5.933086,b'Armind',b'130-',b'Min'
7.2143188,-24.248362,b'Anjunabeat',b'130-',b'Min'
10.254274,-22.024813,b'Anjunabeat',b'130-',b'Min'
16.316883,-2.3786693,b'Armind',b'130-',b'Min'
7.97782,-24.533236,b'Anjunabeat',b'130-',b'Min'
6.613565,-25.570345,b'Anjunabeat',b'130-',b'Min'
14.036569,-24.478474,b'Anjunabeat',b'130-',b'Min'
10.63182,-5.930566,b'Armind',b'130-',b'Min'
16.603186,-0.35835695,b'Armind',b'130-',b'Min'
1.9137702,-8.601737,b'Coldharbou',b'131-136',b'Min'
-2.3566117,-7.6846423,b'Coldharbou',b'131-136',b'Min'
-3.7446008,-6.9101157,b'Coldharbou',b'131-136',b'Min'
2.9131815,-2.9916813,b'Coldharbou',b'131-136',b'Min'
-18.567083,14.843726,b'FSOE',b'137+',b'Min'
-17.169373,16.79959,b'FSOE',b'137+',b'Min'
-6.84429,12.040182,b'Armind',b'137+',b'Min'
-14.021806,10.385385,b'FSOE',b'137+',b'Min'
-20.38241,10.809731,b'Pure',b'137+',b'Min'
-14.924532,17.387026,b'FSOE',b'137+',b'Min'
-18.127918,6.346238,b'Pure',b'137+',b'Min'
-19.343672,10.342422,b'FSOE',b'137+',b'Min'
-8.414026,13.259122,b'FSOE',b'137+',b'Min'
-12.064368,20.772713,b'FSOE',b'137+',b'Min'
16.024492,-5.3682394,b'Armind',b'131-136',b'Maj'
-12.520867,17.21035,b'WAO138',b'137+',b'Maj'
5.6062665,-12.309338,b'Armind',b'130-',b'Min'
12.635911,-9.393614,b'Armind',b'130-',b'Min'
13.973112,-3.093201,b'Armind',b'130-',b'Min'
-2.4040065,-8.866799,b'Coldharbou',b'130-',b'Min'
9.283614,-20.318537,b'Anjunabeat',b'130-',b'Min'
10.474137,-20.867048,b'Anjunabeat',b'130-',b'Min'
6.0840983,-8.992532,b'Coldharbou',b'130-',b'Min'
10.06521,-25.7985,b'Anjunabeat',b'130-',b'Min'
9.245505,-27.426939,b'Anjunabeat',b'130-',b'Min'
-3.8189611,-8.562118,b'Coldharbou',b'130-',b'Min'
11.33692,-5.9011183,b'Armind',b'130-',b'Min'
0.1899357,-7.8955173,b'Coldharbou',b'130-',b'Min'
9.79855,-24.08574,b'Anjunabeat',b'130-',b'Min'
